effect,blocks_n,estimate,ci_low,ci_high,paired_sign_summary,provenance_gate,decision
controller:readability,9,-0.0278,-0.0833,0.0000,wins=0/1; two_sided_p=1.0000,pass,inconclusive
controller:depth,9,0.1389,-0.0833,0.4167,wins=4/7; two_sided_p=1.0000,pass,inconclusive
controller:breadth,9,-0.0833,-0.2778,0.0833,wins=2/5; two_sided_p=1.0000,pass,inconclusive
controller:source_groundedness,9,-0.0033,-0.0086,0.0014,wins=2/7; two_sided_p=0.4531,pass,inconclusive
controller:overclaim_rate,9,0.0019,-0.0058,0.0103,wins=6/9; two_sided_p=0.5078,pass,inconclusive
controller:unsupported_rate,9,0.0039,-0.0017,0.0083,wins=2/9; two_sided_p=0.1797,pass,inconclusive
controller:unverifiable_rate,9,0.0036,-0.0011,0.0094,wins=3/6; two_sided_p=1.0000,pass,inconclusive
controller:provenance_completeness,9,0.0025,-0.0092,0.0144,wins=5/8; two_sided_p=0.7266,pass,inconclusive
controller:internal_leakage,9,0.0000,0.0000,0.0000,wins=0/0; two_sided_p=1.0000,pass,inconclusive
generator:readability,9,-0.0278,-0.0833,0.0000,wins=0/1; two_sided_p=1.0000,pass,inconclusive
generator:depth,9,-0.2500,-0.4167,-0.1111,wins=0/6; two_sided_p=0.0312,pass,harm
generator:breadth,9,-0.2500,-0.4444,-0.0833,wins=0/5; two_sided_p=0.0625,pass,inconclusive
generator:source_groundedness,9,-0.0011,-0.0106,0.0089,wins=4/9; two_sided_p=1.0000,pass,inconclusive
generator:overclaim_rate,9,0.0019,-0.0100,0.0144,wins=5/8; two_sided_p=0.7266,pass,inconclusive
generator:unsupported_rate,9,0.0000,-0.0108,0.0119,wins=4/8; two_sided_p=1.0000,pass,inconclusive
generator:unverifiable_rate,9,-0.0025,-0.0086,0.0044,wins=5/8; two_sided_p=0.7266,pass,inconclusive
generator:provenance_completeness,9,-0.0086,-0.0167,-0.0006,wins=2/7; two_sided_p=0.4531,pass,inconclusive
generator:internal_leakage,9,0.0000,0.0000,0.0000,wins=0/0; two_sided_p=1.0000,pass,inconclusive
mcp_surface:readability,9,-0.0278,-0.0833,0.0000,wins=0/1; two_sided_p=1.0000,pass,inconclusive
mcp_surface:depth,9,0.1944,0.0278,0.3889,wins=5/6; two_sided_p=0.2188,pass,inconclusive
mcp_surface:breadth,9,-0.0278,-0.1389,0.0833,wins=2/5; two_sided_p=1.0000,pass,inconclusive
mcp_surface:source_groundedness,9,0.0000,-0.0086,0.0078,wins=5/7; two_sided_p=0.4531,pass,inconclusive
mcp_surface:overclaim_rate,9,0.0025,-0.0050,0.0106,wins=5/9; two_sided_p=1.0000,pass,inconclusive
mcp_surface:unsupported_rate,9,-0.0028,-0.0111,0.0061,wins=6/9; two_sided_p=0.5078,pass,inconclusive
mcp_surface:unverifiable_rate,9,-0.0014,-0.0078,0.0072,wins=6/8; two_sided_p=0.2891,pass,inconclusive
mcp_surface:provenance_completeness,9,0.0142,0.0028,0.0281,wins=6/7; two_sided_p=0.1250,pass,inconclusive
mcp_surface:internal_leakage,9,0.0000,0.0000,0.0000,wins=0/0; two_sided_p=1.0000,pass,inconclusive
