seed,stage,blind_id,source_run,variant,implementation_mapping,product_insight,reliability_recovery,user_lifecycle_ux,test_gap_clarity,actionability,evaluator_winner
0002,intermediate,K1,M5-V2-seed-0002,V2,5,4,5,4,4,5,no_single_winner
0002,intermediate,K2,M5-V0-seed-0002,V0,5,3,4,4,5,4,no_single_winner
0002,intermediate,K3,M5-V3-seed-0002,V3,4,5,3,5,5,4,no_single_winner
0002,intermediate,K4,M5-V1-seed-0002,V1,4,5,4,4,5,5,no_single_winner
0002,neutral_final,K1,M5-V2-seed-0002,V2,,5,5,4,5,5,K1
0002,neutral_final,K2,M5-V0-seed-0002,V0,,4,4,4,4,4,K1
0002,neutral_final,K3,M5-V3-seed-0002,V3,,4,3,5,4,4,K1
0002,neutral_final,K4,M5-V1-seed-0002,V1,,4,4,5,4,5,K1
0003,intermediate,K1,M5-V3-seed-0003,V3,4,4,4,5,4,4,K4
0003,intermediate,K2,M5-V1-seed-0003,V1,5,4,4,4,5,4,K4
0003,intermediate,K3,M5-V2-seed-0003,V2,4,4,5,4,5,5,K4
0003,intermediate,K4,M5-V0-seed-0003,V0,5,4,5,5,5,5,K4
0003,final,K1,M5-V3-seed-0003,V3,5,5,5,5,5,5,K1
0003,final,K2,M5-V1-seed-0003,V1,5,4,4,4,4,4,K1
0003,final,K3,M5-V2-seed-0003,V2,5,4,5,3,4,5,K1
0003,final,K4,M5-V0-seed-0003,V0,4,4,4,5,4,4,K1
0004,intermediate,K1,M5-V1-seed-0004,V1,4,4,4,3,5,4,K4
0004,intermediate,K2,M5-V3-seed-0004,V3,4,5,4,5,5,4,K4
0004,intermediate,K3,M5-V0-seed-0004,V0,4,3,5,4,4,4,K4
0004,intermediate,K4,M5-V2-seed-0004,V2,5,4,5,4,5,5,K4
0004,final,K1,M5-V1-seed-0004,V1,5,4,4,4,5,5,K3
0004,final,K2,M5-V3-seed-0004,V3,5,5,4,5,5,5,K3
0004,final,K3,M5-V0-seed-0004,V0,5,5,5,5,5,5,K3
0004,final,K4,M5-V2-seed-0004,V2,4,3,5,3,4,4,K3
