experiment,mission_id,cell,seed,attempt,status,readability,depth,breadth,source_groundedness,overclaim_rate,unsupported_conclusion_rate,unverifiable_conclusion_rate,provenance_completeness,internal_id_path_leakage,controller_question_quality,controller_followup_effect,controller_non_leading,controller_fact_free,notes
controller-quality,CQ1,C0,1,1,judged,5,5,5,0.960,0.030,0.040,0.020,0.900,0,,,,,자료 경계와 사용자 흐름을 근거 중심으로 잘 정리했지만 약간 장황합니다.
controller-quality,CQ1,V2,1,1,judged,5,5,5,0.940,0.050,0.040,0.080,0.950,0,5,5,0.920,0.900,원문 근거를 폭넓게 반영했고 충돌 지점도 보수적으로 정리했다.
controller-quality,CQ1,V3,1,1,judged,5,5,5,0.940,0.080,0.100,0.040,0.920,0,5,5,0.780,0.450,출처에 잘 기대어 경계와 긴장점을 균형 있게 정리했다.
controller-quality,CQ1,AUTO,1,1,judged,5,5,5,0.950,0.050,0.050,0.050,0.900,0,5,5,0.820,0.900,원문 긴장 관계를 조심스럽게 짚은 근거 중심의 충실한 보고서입니다.
controller-quality,CQ2,C0,2,1,judged,5,5,5,0.940,0.040,0.050,0.040,0.900,0,,,,,세 문서의 충돌 지점과 기본 경로 제외 대상을 근거 있게 정리했다.
controller-quality,CQ2,V2,2,1,judged,5,5,5,0.940,0.040,0.040,0.050,0.950,0,5,5,0.900,0.950,세 문서를 균형 있게 대조하며 기본 경로 제외 항목을 근거 중심으로 잘 정리했다.
controller-quality,CQ2,V3,2,1,judged,5,5,5,0.940,0.050,0.070,0.040,0.950,0,5,5,0.800,0.900,"문서 간 긴장 관계를 잘 분리했고, 해석 부분도 대체로 명확히 표시되어 있다."
controller-quality,CQ2,AUTO,2,1,judged,5,5,5,0.960,0.030,0.040,0.030,0.920,0,4,3,0.850,0.900,세 문서를 균형 있게 인용하며 기본 경로 제외 항목과 불확실성을 잘 분리했다.
controller-quality,CQ3,C0,3,1,judged,5,5,5,0.950,0.040,0.050,0.030,0.920,0,,,,,문서 간 충돌과 정렬 원칙을 폭넓고 근거 있게 설명했다.
controller-quality,CQ3,V2,3,1,judged,5,5,5,0.920,0.050,0.060,0.040,0.950,0,5,5,0.850,0.950,문서 간 긴장을 균형 있게 비교하고 출처 경계도 대체로 충실히 제시했다.
controller-quality,CQ3,V3,3,1,judged,5,5,5,0.940,0.040,0.050,0.030,0.930,0,5,5,0.820,0.900,문서 간 긴장을 폭넓게 비교했고 해석과 근거의 경계를 비교적 잘 분리했다.
controller-quality,CQ3,AUTO,3,1,judged,5,5,5,0.940,0.060,0.050,0.030,0.900,0,5,5,0.900,0.850,문서 간 AST 리포트 긴장을 잘 짚고 근거도 촘촘하지만 일부 라인 표기는 검증 불가능합니다.
controller-quality,CQ4,C0,4,1,judged,5,5,5,0.960,0.030,0.030,0.040,0.940,0,,,,,코드 근거와 한계 표시가 충실하며 세션 개념의 구분도 정확하다.
controller-quality,CQ4,V2,4,1,judged,5,5,5,0.950,0.050,0.030,0.040,0.900,0,5,5,0.700,0.500,대부분 코드 흐름과 경계를 정확히 짚고 근거 제한도 명확히 밝혔다.
controller-quality,CQ4,V3,4,1,judged,5,5,5,0.940,0.080,0.070,0.060,0.920,0,5,5,0.820,0.780,후보 보고서는 코드 근거와 한계를 대체로 명확히 구분하며 세션 의미 충돌과 동시 실행 경계를 잘 설명한다.
controller-quality,CQ4,AUTO,4,1,judged,5,5,5,0.960,0.020,0.020,0.030,0.950,0,5,5,0.900,0.900,코드 근거와 한계 표시가 매우 충실하며 세션 ID 의미 차이를 정확히 구분했다.
controller-quality,CQ5,C0,5,1,judged,5,5,4,0.940,0.050,0.060,0.040,0.900,0,,,,,원자료에 충실하고 구분의 품질·provenance 효과를 균형 있게 정리했다.
controller-quality,CQ5,V2,5,1,judged,5,5,4,0.930,0.040,0.060,0.030,0.880,0,5,5,0.850,0.950,근거에 충실하고 핵심 모호성을 잘 짚었지만 일부 실천적 함의는 직접 인용보다 해석 비중이 약간 있다.
controller-quality,CQ5,V3,5,1,judged,5,5,5,0.940,0.030,0.040,0.030,0.900,0,5,5,0.750,0.900,근거와 한계를 잘 분리해 과장 없이 provenance 영향을 정리했다.
controller-quality,CQ5,AUTO,5,1,judged,5,5,5,0.960,0.030,0.040,0.020,0.920,0,4,4,0.800,0.900,근거 구분과 한계를 명확히 유지한 매우 충실한 보고서다.
controller-quality,CQ6,C0,6,1,judged,5,5,5,0.950,0.050,0.040,0.030,0.920,0,,,,,자료의 긴장과 구현 범위를 잘 구분한 근거 중심 보고서입니다.
controller-quality,CQ6,V2,6,1,judged,5,5,5,0.960,0.030,0.030,0.040,0.950,0,5,5,0.900,0.950,출처에 밀착해 핵심 역할과 구현상 불일치 가능성을 균형 있게 정리했다.
controller-quality,CQ6,V3,6,1,judged,5,5,5,0.930,0.070,0.060,0.040,0.900,0,5,5,0.780,0.900,원천에 충실하고 문서와 구현 간 긴장을 잘 구조화했으나 일부 판단은 해석적입니다.
controller-quality,CQ6,AUTO,6,1,judged,5,5,4,0.940,0.040,0.050,0.040,0.880,0,5,5,0.900,0.900,"자료 간 긴장을 보수적으로 잘 구조화했고, 일부 행번호 검증성만 약간 아쉽다."
controller-quality,CQ7,C0,7,1,judged,5,5,5,0.960,0.040,0.030,0.020,0.950,0,,,,,문서 근거를 촘촘히 인용하면서 실험 통제와 제품 적용의 차이를 잘 구분했다.
controller-quality,CQ7,V2,7,1,judged,5,5,5,0.920,0.080,0.100,0.050,0.900,0,5,5,0.860,0.880,문서 근거를 잘 분리해 제품 안전 조건과 실험용 중단 조건의 차이를 설득력 있게 정리했다.
controller-quality,CQ7,V3,7,1,judged,5,5,5,0.960,0.030,0.040,0.030,0.940,0,5,5,0.950,0.980,문서 근거를 충실히 분리해 안전 조건과 중단 조건을 균형 있게 정리했다.
controller-quality,CQ7,AUTO,7,1,judged,5,5,5,0.950,0.030,0.040,0.030,0.950,0,5,5,0.850,0.950,문서 근거에 충실하고 실험 통제와 제품 적용의 차이를 잘 구분했다.
controller-quality,CQ8,C0,8,1,judged,5,5,5,0.960,0.040,0.050,0.030,0.950,0,,,,,근거 인용이 촘촘하고 제한과 불확실성을 잘 분리했다.
controller-quality,CQ8,V2,8,1,judged,5,5,5,0.940,0.060,0.080,0.030,0.920,0,5,5,0.950,0.950,"근거 구분과 한계 표시가 충실하며, 일부 정책적 권장은 명확히 추론으로 분리되어 있다."
controller-quality,CQ8,V3,8,1,judged,5,5,5,0.930,0.080,0.070,0.100,0.880,0,5,5,0.780,0.900,원문에 충실하게 세 역할을 구분했고 추론 한계도 대체로 명확히 표시했다.
controller-quality,CQ8,AUTO,8,1,judged,5,5,5,0.950,0.040,0.040,0.020,0.960,0,5,5,0.950,0.950,원문 제한을 잘 지키며 세 역할과 충돌 위험을 신중하게 정리했다.
